variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,max,min,69103.19,106449.06,0.13,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_max_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,max,max,69206.0,106640.06,0.13,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_max_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,max,mean,69238.89,106448.31,0.06,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_max_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,max,min,69103.19,106443.06,0.05,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_max_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,max,max,69478.25,106640.06,0.05,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_max_max.nc
surface_pressure,90,50,180,0,2010-01-01T00:00,2014-12-31T23:00,month,0.5,mean,mean,74222.94,104119.38,3.59,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736965238318_mean_mean.nc
surface_pressure,90,50,180,0,2010-01-01T00:00,2014-12-31T23:00,month,0.5,mean,min,73300.7,104116.31,3.57,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736965238318_mean_min.nc
surface_pressure,90,50,180,0,2010-01-01T00:00,2014-12-31T23:00,month,0.5,mean,max,74825.04,104241.5,3.54,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736965238318_mean_max.nc
surface_pressure,90,50,180,0,2010-01-01T00:00,2014-12-31T23:00,month,1.0,mean,mean,75391.66,104116.15,0.95,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736965238318_mean_mean.nc
surface_pressure,90,50,180,0,2010-01-01T00:00,2014-12-31T23:00,month,1.0,mean,min,73300.7,104110.22,0.96,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736965238318_mean_min.nc
surface_pressure,90,50,180,0,2010-01-01T00:00,2014-12-31T23:00,month,1.0,mean,max,77993.33,104241.5,0.94,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736965238318_mean_max.nc
surface_pressure,90,50,180,0,2010-01-01T00:00,2014-12-31T23:00,month,0.5,min,mean,72814.88,103066.0,3.3,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736965238318_min_mean.nc
surface_pressure,90,50,180,0,2010-01-01T00:00,2014-12-31T23:00,month,0.5,min,min,71936.88,103054.69,2.84,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736965238318_min_min.nc
